11:29:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:31:15     all   12.34    0.00   22.73    0.00    0.00    0.00    0.00    0.00    0.00   64.94
11:31:16     all   12.26    0.00   23.23    0.00    0.00    0.65    0.00    0.00    0.00   63.87
11:31:17     all   11.69    0.00   23.38    0.00    0.00    0.00    0.00    0.00    0.00   64.94
11:31:18     all    7.30    0.00   10.11    0.00    0.00    0.56    0.00    0.00    0.00   82.02
11:31:19     all   10.82    0.00   13.92    0.00    0.00    0.00    0.00    0.00    0.00   75.26
11:31:20     all   13.95    0.00   28.49    0.00    0.00    0.00    0.00    0.00    0.00   57.56
11:31:21     all   12.99    0.00   23.38    0.00    0.00    0.00    0.00    0.00    0.00   63.64
11:31:22     all   12.26    0.00   23.23    0.00    0.00    0.00    0.00    0.00    0.00   64.52
11:31:23     all    2.11    0.00    3.16    0.00    0.00    0.53    0.00    0.00    0.00   94.21
11:31:24     all    9.15    0.00   17.68    0.00    0.00    0.00    0.00    0.00    0.00   73.17
11:31:25     all   12.42    0.00   22.22    0.00    0.00    0.00    0.00    0.00    0.00   65.36
11:31:26     all   13.07    0.00   22.22    0.00    0.00    0.00    0.00    0.00    0.00   64.71
11:31:27     all   11.88    0.00   17.50    0.00    0.00    0.00    0.00    0.00    0.00   70.62
11:31:28     all    1.03    0.00    2.56    0.00    0.00    0.51    0.00    0.00    0.00   95.90
11:31:29     all   11.04    0.00   24.03    0.00    0.00    0.00    0.00    0.00    0.00   64.94
11:31:30     all   12.50    0.00   21.71    0.00    0.00    0.00    0.00    0.00    0.00   65.79
11:31:31     all   12.99    0.00   22.08    0.00    0.00    0.00    0.00    0.00    0.00   64.94
11:31:32     all    5.14    0.00   11.43    0.00    0.00    0.57    0.00    0.00    0.00   82.86
11:31:33     all    5.59    0.00    8.38    0.00    0.00    0.00    0.00    0.00    0.00   86.03
11:31:34     all   12.99    0.00   22.08    0.00    0.00    0.00    0.00    0.00    0.00   64.94
11:31:35     all   12.42    0.00   22.22    0.00    0.00    0.00    0.00    0.00    0.00   65.36
